point,W,scheme,rep,seed,pairwise_infeasible,winner_scan_feasible,n_zero_win_pairs,n_positive_share_pairs,worst_slack,t_draw,t_ctx
upper_candidate,20000,stratified,3,2000003002,false,true,0,400,0.2987495806414149,0.0657351016998291,5.276993989944458
upper_candidate,20000,stratified,4,2000004002,false,true,0,400,1.039546660874496,0.019710063934326172,3.1441550254821777
upper_candidate,20000,stratified,5,2000005002,false,true,0,400,0.4016774224228161,0.04947710037231445,4.404606103897095
upper_candidate,20000,stratified,6,2000006002,false,true,0,400,1.5888044984896528,0.011463165283203125,4.83050012588501
upper_candidate,20000,stratified,7,2000007002,false,true,0,400,1.228468573795329,0.05811905860900879,4.432178020477295
upper_candidate,20000,stratified,8,2000008002,false,true,0,400,1.4551902307433213,0.009727001190185547,4.78705906867981
upper_candidate,20000,stratified,9,2000009002,false,true,0,400,1.0143659935887435,0.06432104110717773,3.5873920917510986
upper_candidate,20000,stratified,10,2000010002,false,true,0,400,0.2925937302417658,0.00958395004272461,5.970635890960693
upper_candidate,20000,stratified,11,2000011002,false,true,0,400,0.6314901333434371,0.049226999282836914,3.9693498611450195
upper_candidate,20000,stratified,12,2000012002,false,true,0,400,0.6429532257729633,0.009930849075317383,3.547520875930786
upper_candidate,20000,stratified,13,2000013002,false,true,0,400,1.4270075929637578,0.049852848052978516,4.01717209815979
upper_candidate,20000,stratified,14,2000014002,false,true,0,400,0.7602293737291532,0.009782075881958008,4.785955190658569
upper_candidate,20000,stratified,15,2000015002,false,true,0,400,1.579157822569984,0.05028414726257324,4.834625005722046
upper_candidate,40000,plain,1,4000001001,false,true,0,400,0.7570231933591103,0.013090133666992188,7.631653070449829
upper_candidate,40000,plain,2,4000002001,false,true,0,400,0.15162130816008101,0.013716936111450195,11.175246953964233
upper_candidate,40000,plain,3,4000003001,false,true,0,400,1.7325359201515376,0.01571512222290039,7.596212863922119
upper_candidate,40000,plain,4,4000004001,false,true,0,400,1.7874019567792825,0.01622796058654785,7.686656951904297
upper_candidate,40000,plain,5,4000005001,false,true,0,400,0.6710606478542136,0.010641098022460938,7.766858100891113
upper_candidate,40000,plain,6,4000006001,false,true,0,400,1.0090174934534453,0.01064610481262207,7.825074911117554
upper_candidate,40000,plain,7,4000007001,false,true,0,400,1.5470084927172945,0.014619112014770508,7.6987059116363525
upper_candidate,40000,plain,8,4000008001,false,true,0,400,1.532856952968439,0.014667034149169922,7.715353012084961
upper_candidate,40000,plain,9,4000009001,false,true,0,400,1.2324358866671616,0.01146697998046875,7.787697076797485
upper_candidate,40000,plain,10,4000010001,false,true,0,400,1.2124349623404171,0.010312795639038086,8.50032114982605
upper_candidate,40000,plain,11,4000011001,false,true,0,400,1.441815375179198,0.010416030883789062,7.6958959102630615
upper_candidate,40000,plain,12,4000012001,false,true,0,400,0.36317201033388,0.010380983352661133,8.513552188873291
upper_candidate,40000,stratified,1,4000001002,false,true,0,400,1.8379678294234587,0.018858909606933594,9.330518960952759
upper_candidate,40000,stratified,2,4000002002,false,true,0,400,1.0181708991039962,0.02365708351135254,8.384058952331543
upper_candidate,40000,stratified,3,4000003002,false,true,0,400,1.7730046720724992,0.019068002700805664,8.459747076034546
upper_candidate,40000,stratified,4,4000004002,false,true,0,400,1.2199594432642975,0.018959999084472656,8.485168933868408
upper_candidate,40000,stratified,5,4000005002,false,true,0,400,1.9528782326055598,0.0267488956451416,7.594941139221191
upper_candidate,40000,stratified,6,4000006002,false,true,0,400,1.5444469955029962,0.019183874130249023,9.315563917160034
upper_candidate,40000,stratified,7,4000007002,false,true,0,400,1.3699382071834503,0.023424148559570312,7.618843078613281
upper_candidate,40000,stratified,8,4000008002,false,true,0,400,1.3174538342647253,0.02304387092590332,8.504791021347046
upper_candidate,40000,stratified,9,4000009002,false,true,0,400,1.4217351065705266,0.019069910049438477,8.493551969528198
upper_candidate,40000,stratified,10,4000010002,false,true,0,400,1.0464224129530386,0.019534826278686523,7.743082046508789
upper_candidate,40000,stratified,11,4000011002,false,true,0,400,1.4856128501663193,0.02090907096862793,8.485518217086792
upper_candidate,40000,stratified,12,4000012002,false,true,0,400,1.258214650750304,0.019032955169677734,7.725507974624634
upper_candidate,80000,plain,1,8000001001,false,true,0,400,1.6150743940410521,0.02406001091003418,14.870869874954224
