target,scramble,seed,W,m,policy,h,cplus,cminus,cmin,secant_fixed_dual,secant_reopt,boundary_p,boundary_m,leverage
0.5,tuning,29,80000,8,B_alpha_half_anchor25,0.00036619621642229225,32,25,25,-0.36002761743416445,-0.3583804157680437,false,false,0.36414053330894147
0.5,tuning,29,80000,8,C_target25,0.00036619621642229225,32,25,25,-0.36002761743416445,-0.3583804157680437,false,false,0.36414053330894147
0.5,tuning,29,80000,9,B_alpha_half_anchor25,0.0001009075328849811,25,33,25,1.5440629166802773,1.5418635099220055,false,false,1.4440302098093005
0.5,tuning,29,80000,9,C_target25,0.0001009075328849811,25,33,25,1.5440629166802773,1.5418635099220055,false,false,1.4440302098093005
0.5,tuning,29,80000,10,B_alpha_half_anchor25,0.0007585418369957446,27,25,25,-0.11635364015670563,-0.11575339737212702,false,false,0.08745637221810908
0.5,tuning,29,80000,10,C_target25,0.0007585418369957446,27,25,25,-0.11635364015670563,-0.11575339737212702,false,false,0.08745637221810908
0.5,tuning,29,80000,11,B_alpha_half_anchor25,0.00031887712988452947,31,25,25,0.34041907359621254,0.33940855620348676,false,false,0.760287900075816
0.5,tuning,29,80000,11,C_target25,0.00031887712988452947,31,25,25,0.34041907359621254,0.33940855620348676,false,false,0.760287900075816
0.5,tuning,29,80000,12,B_alpha_half_anchor25,0.0002248101125347713,35,25,25,-0.7688147043062016,-0.7703447732784381,false,false,0.8440821262399694
0.5,tuning,29,80000,12,C_target25,0.0002248101125347713,35,25,25,-0.7688147043062016,-0.7703447732784381,false,false,0.8440821262399694
0.5,tuning,29,80000,13,B_alpha_half_anchor25,0.0011239914552172287,25,28,25,0.018727970907249085,0.0189510344744206,false,false,0.3071677326761748
0.5,tuning,29,80000,13,C_target25,0.0011239914552172287,25,28,25,0.018727970907249085,0.0189510344744206,false,false,0.3071677326761748
0.5,tuning,29,80000,14,B_alpha_half_anchor25,0.00013701091805035448,25,32,25,1.247550645803374,1.2482967636734013,false,false,1.2972022936396106
0.5,tuning,29,80000,14,C_target25,0.00013701091805035448,25,32,25,1.247550645803374,1.2482967636734013,false,false,1.2972022936396106
0.5,tuning,29,320000,1,B_alpha_half_anchor25,0.00040202290580869344,54,57,54,-0.38204208449213695,-0.38185772188802153,false,false,0.3819730496717949
0.5,tuning,29,320000,1,C_target25,0.00018739129887023167,25,26,25,-0.3971130081771942,-0.3970508149939129,false,false,0.3819730496717949
0.5,tuning,29,320000,2,B_alpha_half_anchor25,0.0003657095143078331,53,52,52,-0.06610218481863142,-0.06653320657084812,false,false,0.07251655396717029
0.5,tuning,29,320000,2,C_target25,0.0001806908401170518,26,25,25,-0.06889683544906651,-0.06858325960079238,false,false,0.07251655396717029
0.5,tuning,29,320000,3,B_alpha_half_anchor25,0.0006133168498317034,59,56,56,-1.795380341309332,-1.7946503432415049,false,false,0.2982316007191014
0.5,tuning,29,320000,3,C_target25,0.0002776725138146598,26,25,25,-2.05187207274943,-2.051699069641674,false,false,0.2982316007191014
0.5,tuning,29,320000,4,B_alpha_half_anchor25,7.261501569942975e-5,55,52,52,1.547487081347486,1.5486120681889382,false,false,1.5901957092207055
0.5,tuning,29,320000,4,C_target25,3.4847825726056256e-5,27,25,25,1.642156967550277,1.6428755509379445,false,false,1.5901957092207055
0.5,tuning,29,320000,5,B_alpha_half_anchor25,0.0001319362993004757,65,67,65,-1.5519621934607872,-1.5520770638739354,false,false,0.751197942485476
0.5,tuning,29,320000,5,C_target25,5.239435163813839e-5,25,26,25,-1.576699024874592,-1.5768805354413835,false,false,0.751197942485476
0.5,tuning,29,320000,6,B_alpha_half_anchor25,9.717011351965772e-5,58,60,58,-1.1097584298427978,-1.1096444174071545,false,false,1.1372293674543315
0.5,tuning,29,320000,6,C_target25,4.031148744866878e-5,25,25,25,-1.0852252630629633,-1.0848355240139553,false,false,1.1372293674543315
0.5,tuning,29,320000,7,B_alpha_half_anchor25,0.00013682882031004848,54,58,54,-0.28194488327008,-0.28232003744711315,false,false,0.9924333042822502
0.5,tuning,29,320000,7,C_target25,6.060906826857519e-5,25,25,25,-0.322499720563028,-0.3214537512337505,false,false,0.9924333042822502
0.5,tuning,29,320000,8,B_alpha_half_anchor25,0.00018309810821114613,58,59,58,-0.36693655111550777,-0.3670756934247157,false,false,0.36414053330894147
0.5,tuning,29,320000,8,C_target25,7.540798110883424e-5,25,26,25,-0.33637578966113274,-0.33640175320028765,false,false,0.36414053330894147
0.5,tuning,29,320000,9,B_alpha_half_anchor25,5.045376644249055e-5,52,51,51,1.4023200093897679,1.4026515529509054,false,false,1.4440302098093005
0.5,tuning,29,320000,9,C_target25,2.6232040159112766e-5,26,25,25,1.1598303100656668,1.1598895580803088,false,false,1.4440302098093005
0.5,tuning,29,320000,10,B_alpha_half_anchor25,0.0003792709184978723,48,51,48,-0.08995709317340524,-0.09052931439466498,false,false,0.08745637221810908
0.5,tuning,29,320000,10,C_target25,0.00019014054534120028,26,25,25,-0.10333427616898933,-0.1034677080115971,false,false,0.08745637221810908
0.5,tuning,29,320000,11,B_alpha_half_anchor25,0.00015943856494226474,57,59,57,0.10969709634653796,0.11085734024106567,false,false,0.760287900075816
0.5,tuning,29,320000,11,C_target25,6.760478884680258e-5,25,25,25,0.16972708399224584,0.17014847072546757,false,false,0.760287900075816
0.5,tuning,29,320000,12,B_alpha_half_anchor25,0.00011240505626738565,62,61,61,-0.8165226012327994,-0.8166715323542961,false,false,0.8440821262399694
0.5,tuning,29,320000,12,C_target25,4.529302564785045e-5,25,25,25,-0.7152742890230955,-0.7156349105674257,false,false,0.8440821262399694
0.5,tuning,29,320000,13,B_alpha_half_anchor25,0.0005619957276086143,53,52,52,0.06483534242039558,0.06485304663819252,false,false,0.3071677326761748
0.5,tuning,29,320000,13,C_target25,0.0002697008185683966,25,25,25,0.05773638843381363,0.05767553982051007,false,false,0.3071677326761748
0.5,tuning,29,320000,14,B_alpha_half_anchor25,6.850545902517724e-5,58,55,55,1.3353433998133701,1.3360105085910123,false,false,1.2972022936396106
