point,direction,h,objA_registered,objB_fixed_dual_raw,objC_fd_Delta,ratio_A_vs_C,ratio_B_vs_C,switch_bp,switch_bm,switch_pm,cells_with_switches,min_dist_to_draw,link_switch_bp,link_switch_bm,link_switch_pm,Delta_base,eval_p_Delta,eval_m_Delta,eval_p_nStatus,eval_m_nStatus
mixed_Af_radius_0.002,technology_pivot_sensitive,1.0e-7,-6.797417202405228e7,-6.796252584026662e7,-6.796252572082709e7,1.000171363602245,1.0000000017574322,0,0,0,0,6.395755449695173e-7,0,0,0,0.00010021628162231727,0.00010021560206231376,0.00010021696131282817,0,0
mixed_Af_radius_0.002,technology_pivot_sensitive,3.0e-7,-6.796252585677955e7,-6.796252584822166e7,-6.796252585454535e7,1.000000000032874,0.9999999999069532,0,0,0,0,6.395755449695173e-7,0,0,0,0.00010021628162231727,0.00010021424333383316,0.00010021832108538443,0,0
mixed_Af_radius_0.002,technology_pivot_sensitive,1.0e-6,-6.796252584573282e7,-6.796252584567992e7,-6.796252576297544e7,1.0000000012176915,1.000000001216913,0,0,0,0,6.395755449695173e-7,0,0,0,0.00010021628162231727,0.00010020949189521002,0.00010022308440036261,0,0
mixed_Af_radius_0.002,technology_pivot_sensitive,3.0e-6,-6.796252585300477e7,-6.796252585328571e7,-6.796252513619365e7,1.0000000105471525,1.0000000105512863,0,0,0,0,6.395755449695173e-7,0,0,0,0.00010021628162231727,0.00010019595159397405,0.00010023672910905577,0,0
mixed_Af_radius_0.002,technology_pivot_sensitive,1.0e-5,-4.044493146720728e8,-4.0444931467223793e8,-3.9063772161775637e8,1.0353565267509708,1.0353565267513933,1,0,1,1,6.395755449695173e-7,0,0,0,0.00010021628162231727,9.950362124370031e-5,0.00010028489668693582,0,0
mixed_Af_radius_0.002,technology_pivot_sensitive,3.0e-5,-2.8307701030673426e8,-2.830770103068576e8,-2.9636428071385276e8,0.955165749478603,0.9551657494790191,1,2,3,2,6.395755449695173e-7,0,0,0,0.00010021628162231727,9.938272440879565e-5,0.00010116091009307877,0,0
mixed_Af_radius_0.002,technology_pivot_sensitive,0.0001,-2.922251657333544e8,-2.922251657333522e8,-3.201218774961029e8,0.91285596604347,0.9128559660434631,5,7,12,2,6.395755449695173e-7,0,0,0,0.00010021628162231727,9.841548000165078e-5,0.00010481791755157284,0,0
mixed_Af_radius_0.002,technology_pivot_sensitive,0.0003,-3.082294236960838e8,-3.0822942369607574e8,-3.830137500798856e8,0.8047476719355272,0.8047476719355062,19,23,42,2,6.395755449695173e-7,0,0,0,0.00010021628162231727,0.00010180500263636826,0.0001247858276411614,0,0
mixed_Af_radius_0.002,technology_pivot_sensitive,0.001,-3.080518733214859e8,-3.080518733214872e8,-4.109428650055858e8,0.7496221483667775,0.7496221483667808,66,70,136,2,6.395755449695173e-7,0,0,0,0.00010021628162231727,0.0001934200943316862,0.0002756086673328034,0,0
mixed_Af_radius_0.002,normalized_technology_block,1.0e-7,6.212856353382467e7,6.212833521247376e7,6.2128334967707485e7,1.0000036789351798,1.0000000039396884,0,0,0,0,6.395755449695173e-7,0,0,0,0.00010021628162231727,0.00010021690290936241,0.00010021566034266305,0,0
mixed_Af_radius_0.002,normalized_technology_block,3.0e-7,6.212833462352751e7,6.2128334917554945e7,6.212833490401061e7,0.9999999954854238,1.0000000002180058,0,0,0,0,6.395755449695173e-7,0,0,0,0.00010021628162231727,0.00010021814550561157,0.00010021441780551733,0,0
mixed_Af_radius_0.002,normalized_technology_block,1.0e-6,-3.372761974238042e9,6.212833491753554e7,6.212833493084461e7,-54.287016994617375,0.999999999785781,0,0,0,0,6.395755449695173e-7,0,0,0,0.00010021628162231727,0.00010022249482518142,0.00010021006915819525,0,0
mixed_Af_radius_0.002,normalized_technology_block,3.0e-6,-1.0828315445222313e9,-4.372297527069343e9,-4.501243458377597e9,0.24056275883209416,0.9713532643811427,0,2,2,2,6.395755449695173e-7,0,0,0,0.00010021628162231727,0.00010023492344714182,0.00010293566952216838,0,0
mixed_Af_radius_0.002,normalized_technology_block,1.0e-5,-8.095210395365455e8,-1.2681956775720696e9,-1.3069647012757964e9,0.6193901325309932,0.9703365946563957,0,2,2,2,6.395755449695173e-7,0,0,0,0.00010021628162231727,0.00010027844689462277,0.00010289237629717436,0,0
mixed_Af_radius_0.002,normalized_technology_block,3.0e-5,-6.734549778871176e8,-1.280619264597209e9,-1.2250486745012314e9,0.5497373222017561,1.045361944592612,4,3,7,6,6.395755449695173e-7,0,0,0,0.00010021628162231727,9.557414271934199e-5,0.00010292443476634938,0,0
mixed_Af_radius_0.002,normalized_technology_block,0.0001,-1.8157495905453852e8,-4.7561031677845746e8,-4.6782222787996805e8,0.38812811412869913,1.0166475392453727,9,5,14,8,6.395755449695173e-7,0,0,0,0.00010021628162231727,9.3035387883581e-5,0.00010239183244118036,0,0
mixed_Af_radius_0.002,normalized_technology_block,0.0003,-2.7829159213613564e8,-2.8340910800819e8,-2.728786236176918e8,1.019836542880059,1.038590360252079,19,20,39,13,6.395755449695173e-7,0,0,0,0.00010021628162231727,8.583933589227924e-5,0.00010221205330934075,0,0
mixed_Af_radius_0.002,normalized_technology_block,0.001,-2.708130353473276e8,-2.4074262942875782e8,-2.1884775384084907e8,1.2374494624435068,1.1000461517362943,70,72,142,14,6.395755449695173e-7,0,0,0,0.00010021628162231727,7.669083134174215e-5,0.00012046038210991197,0,0
mixed_Af_radius_0.002,normalized_participation_block,1.0e-7,-2.725985801174908e7,-2.7259936698828824e7,-2.7259936646038037e7,0.999997115389886,1.0000000019365705,0,0,0,0,6.395755449695173e-7,0,0,0,0.00010021628162231727,0.00010021600902406916,0.00010021655422280208,0,0
mixed_Af_radius_0.002,normalized_participation_block,3.0e-7,-2.7259936739282146e7,-2.725993675684246e7,-2.7259936727127325e7,1.000000000445886,1.0000000010900663,0,0,0,0,6.395755449695173e-7,0,0,0,0.00010021628162231727,0.00010021546383428209,0.00010021709943048572,0,0
mixed_Af_radius_0.002,normalized_participation_block,1.0e-6,3.5281948431903343e9,-2.7259936747374013e7,-2.725993674951158e7,-129.4278440779416,0.9999999999215857,0,0,0,0,6.395755449695173e-7,0,0,0,0.00010021628162231727,0.00010021355574049621,0.00010021900772784611,0,0
mixed_Af_radius_0.002,normalized_participation_block,3.0e-6,1.1578916565637786e9,5.163039165608856e9,5.266423181081472e9,0.21986301076663628,0.9803692160850268,1,0,1,1,6.395755449695173e-7,0,0,0,0.00010021628162231727,0.000103384314518687,0.00010022446061003812,0,0
mixed_Af_radius_0.002,normalized_participation_block,1.0e-5,1.0493297157012069e9,1.3030694273209198e9,1.3417195698477168e9,0.7820782667873767,0.9711935762171348,2,0,2,2,6.395755449695173e-7,0,0,0,0.00010021628162231727,0.00010292699188447071,0.00010024355274477528,0,0
