point,direction,step_type,epsilon,obj_improves,predicted_obj_change,realized_obj_change,delta_finite_after_step,predicted_delta_change,realized_delta_change,new_status,Delta0
D4_near_boundary,lower,neg_DeltaStar_grad,1.0e-7,true,-8.382140707249674e-8,-8.382140706530983e-8,true,-2.0288904803756608e-6,-1.262922509348563e-6,FiniteSolved,0.5720613122125435
D4_near_boundary,lower,neg_DeltaStar_grad,3.0e-7,true,-2.5146422121749023e-7,-2.5146422122368506e-7,true,-6.086671441126982e-6,-3.788752583888666e-6,FiniteSolved,0.5720613122125435
D4_near_boundary,lower,neg_DeltaStar_grad,1.0e-6,true,-8.382140707249674e-7,-8.38214070736365e-7,true,-2.0288904803756607e-5,-1.262900102150244e-5,FiniteSolved,0.5720613122125435
D4_near_boundary,lower,neg_DeltaStar_grad,3.0e-6,true,-2.5146422121749024e-6,-2.5146422121813394e-6,true,-6.086671441126983e-5,-3.788550947025904e-5,FiniteSolved,0.5720613122125435
D4_near_boundary,lower,neg_DeltaStar_grad,1.0e-5,true,-8.382140707249675e-6,-8.382140707252628e-6,true,-0.0002028890480375661,-0.0001643133198566682,FiniteSolved,0.5720613122125435
D4_near_boundary,lower,neg_DeltaStar_grad,3.0e-5,true,-2.5146422121749023e-5,-2.5146422121757883e-5,true,-0.0006086671441126982,-0.000466262526445993,FiniteSolved,0.5720613122125435
D4_near_boundary,lower,neg_DeltaStar_grad,0.0001,true,-8.382140707249675e-5,-8.382140707249852e-5,true,-0.002028890480375661,-0.0014384226703147984,FiniteSolved,0.5720613122125435
D4_near_boundary,lower,projected_tangent,1.0e-8,true,-5.453413349808351e-9,-5.4534133597794465e-9,true,-2.9670889561949033e-23,-5.286032356277559e-8,FiniteSolved,0.5720613122125435
D4_near_boundary,lower,projected_tangent,3.0e-8,true,-1.636024004942505e-8,-1.6360240051582764e-8,true,-8.901266868584709e-23,-1.5858093904697057e-7,FiniteSolved,0.5720613122125435
D4_near_boundary,lower,projected_tangent,1.0e-7,true,-5.45341334980835e-8,-5.453413348677216e-8,true,-2.967088956194903e-22,-5.28602813187895e-7,FiniteSolved,0.5720613122125435
D4_near_boundary,lower,projected_tangent,3.0e-7,true,-1.636024004942505e-7,-1.6360240048807206e-7,true,-8.90126686858471e-22,-1.5858057622608612e-6,FiniteSolved,0.5720613122125435
D4_near_boundary,lower,projected_tangent,1.0e-6,true,-5.45341334980835e-7,-5.453413349787439e-7,true,-2.967088956194903e-21,-5.285987998648878e-6,FiniteSolved,0.5720613122125435
D4_near_boundary,lower,projected_tangent,3.0e-6,true,-1.6360240049425051e-6,-1.6360240049362318e-6,true,-8.90126686858471e-21,-1.585769654610658e-5,FiniteSolved,0.5720613122125435
D4_near_boundary,lower,projected_tangent,1.0e-5,true,-5.453413349808351e-6,-5.453413349815195e-6,true,-2.9670889561949035e-20,-5.28558684967928e-5,FiniteSolved,0.5720613122125435
D4_near_boundary,lower,projected_tangent,3.0e-5,true,-1.6360240049425053e-5,-1.636024004941783e-5,true,-8.90126686858471e-20,-8.79563077579304e-5,FiniteSolved,0.5720613122125435
D4_near_boundary,lower,projected_tangent,0.0001,true,-5.453413349808351e-5,-5.453413349809644e-5,true,-2.9670889561949034e-19,0.0007007560890156528,FiniteSolved,0.5720613122125435
