label,radius,dir_idx,sign,gp,Delta,feasible,improved
upper_lfixcomposite_sr1_60s,0.02,10,1.0,0.8926359584642946,1.0056248296150865,false,false
upper_lfixcomposite_sr1_60s,0.02,10,-1.0,0.8926359584642946,1.0044974848931698,false,false
upper_lfixcomposite_sr1_60s,0.02,11,1.0,0.8926359584642946,1.0015844756116303,false,false
upper_lfixcomposite_sr1_60s,0.02,11,-1.0,0.8926359584642946,1.0003149802043736,false,false
upper_lfixcomposite_sr1_60s,0.02,12,1.0,0.8926359584642946,1.0057790054450106,false,false
upper_lfixcomposite_sr1_60s,0.02,12,-1.0,0.8926359584642946,1.0043285409750542,false,false
upper_lfixcomposite_sr1_60s,0.02,13,1.0,0.8926359584642946,1.0011205840473019,false,false
upper_lfixcomposite_sr1_60s,0.02,13,-1.0,0.8926359584642946,0.9999529322503443,true,false
upper_lfixcomposite_sr1_60s,0.02,14,1.0,0.8926359584642946,1.000114967122984,false,false
upper_lfixcomposite_sr1_60s,0.02,14,-1.0,0.8926359584642946,1.000045048820257,false,false
upper_lfixcomposite_sr1_60s,0.02,15,1.0,0.8926359584642946,1.00024859798804,false,false
upper_lfixcomposite_sr1_60s,0.02,15,-1.0,0.8926359584642946,0.9999171119550487,true,false
upper_lfixcomposite_sr1_60s,0.02,16,1.0,0.8926359584642946,1.000122293584406,false,false
upper_lfixcomposite_sr1_60s,0.02,16,-1.0,0.8926359584642946,0.9999994983154251,true,false
upper_lfixcomposite_sr1_60s,0.02,17,1.0,0.8869042132611942,1.4035975315217786,false,false
upper_lfixcomposite_sr1_60s,0.02,17,-1.0,0.8983677036673949,0.8020589649292854,true,false
upper_lfixcomposite_sr1_60s,0.02,18,1.0,0.8922494694127117,1.021099775736943,false,false
upper_lfixcomposite_sr1_60s,0.02,18,-1.0,0.8930224475158774,0.9897641861416195,true,false
upper_lfixcomposite_sr1_60s,0.02,19,1.0,0.8931856664851385,0.9776791365295736,true,false
upper_lfixcomposite_sr1_60s,0.02,19,-1.0,0.8920862504434506,1.029573700346697,false,false
